鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
苓雅區,房地(土地+建物)+車位,高雄市新興區七賢一路121~150號,5.68,商,,,1041009,土地1建物1車位1,二十層,二十九層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1070911,147.24,2,1,1,有,有,8410000,62792,坡道平面,46.75,2100000,,RPPOMLSLKINFFBE38CA
苓雅區,房地(土地+建物),高雄市新興區七賢一路121~150號,3.39,商,,,1041009,土地1建物1車位0,二十層,二十九層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1070911,62.93,2,1,1,有,有,4390000,69760,,0.0,0,,RPQOMLSLKINFFBE48CA
苓雅區,房地(土地+建物),高雄市新興區七賢一路121~150號,3.39,商,,,1041114,土地1建物1車位0,十九層,二十九層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1070911,62.93,2,1,1,有,有,4700000,74686,,0.0,0,,RPSOMLSLKINFFBE68CA
苓雅區,房地(土地+建物)+車位,高雄市新興區七賢一路121~150號,5.19,商,,,1041018,土地1建物1車位1,十一層,二十九層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1070911,138.13,2,1,1,有,有,7180000,59969,坡道平面,46.75,1700000,,RPTOMLSLKINFFBE78CA
苓雅區,房地(土地+建物),高雄市新興區七賢一路121~150號,3.24,商,,,1050511,土地1建物1車位0,十六層,二十九層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1070911,60.260000000000005,2,1,1,有,有,4320000,71689,,0.0,0,,RPUOMLSLKINFFBE88CA
苓雅區,房地(土地+建物),高雄市新興區七賢一路121~150號,3.24,商,,,1050510,土地1建物1車位0,十六層,二十九層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1070911,60.260000000000005,2,1,1,有,有,4500000,74676,,0.0,0,,RPVOMLSLKINFFBE98CA
新興區,土地,新興段一小段511~540地號,43.0,商,,,1071126,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3300000,76744,,0.0,0,親友、員工或其他特殊關係間之交易。;含增建或未登記建物。;,RPXOMLRJJHOFFBE78CA
新興區,房地(土地+建物)+車位,高雄市新興區復興一路61~90號,14.0,商,,,1071128,土地1建物1車位1,十層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860120,249.31,4,2,3,有,有,11000000,44122,坡道平面,0.0,0,,RPPOMLNJJHOFFBE57CA
苓雅區,房地(土地+建物),高雄市苓雅區三多二路45巷31~60號,42.0,住,,,1071203,土地1建物1車位0,全,二層,透天厝,,加強磚造,0561220,64.82,4,2,2,有,無,4200000,64795,,0.0,0,,RPSOMLMLJHOFFBE97CA
新興區,房地(土地+建物),高雄市新興區林森一路241~270號,12.29,商,,,1070504,土地2建物1車位0,七層,十二層,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,0660627,122.96,3,2,2,有,有,4000000,32531,,0.0,0,,RPTOMLMLJHOFFBE08CA
新興區,房地(土地+建物)+車位,高雄市新興區七賢二路31~60號,10.18,商,,,1071018,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060424,177.49,2,2,2,有,有,11300000,63666,坡道平面,37.25,0,,RPRNMLMLJHOFFBE77CA
